Sorting Algorith Name,Array Length,Num. of Comparisons,Run Time
optimal_bubble_sort,800,799,0.1261
heap_sort,800,5767,3.3469
general_count_sort,800,0,0.3014
selection_sort,1000,499500,38.1808
insertion_sort,1000,235984,32.7265
merge_sort,1000,9976,2.9376
quick_sort,1000,999,1.5695
bubble_sort,1000,499500,72.5644
optimal_bubble_sort,1000,999,0.0868
heap_sort,1000,7418,4.5495
general_count_sort,1000,0,0.3729
selection_sort,2000,1999000,142.0617
insertion_sort,2000,987492,159.3494
merge_sort,2000,21952,6.4087
quick_sort,2000,1999,3.5405
bubble_sort,2000,1999000,298.3162
optimal_bubble_sort,2000,1999,0.1907
heap_sort,2000,15956,9.2187
general_count_sort,2000,0,0.6759
selection_sort,100,4950,0.3431
insertion_sort,100,2591,0.3116
merge_sort,100,672,0.222
quick_sort,100,99,0.104
bubble_sort,100,4950,0.603
optimal_bubble_sort,100,99,0.01
heap_sort,100,463,0.2613
general_count_sort,100,0,0.0484
selection_sort,200,19900,1.3535
insertion_sort,200,9744,1.189
merge_sort,200,1544,0.4888
quick_sort,200,199,0.2358
bubble_sort,200,19900,2.3615
optimal_bubble_sort,200,199,0.0253
heap_sort,200,1095,0.5984
general_count_sort,200,0,0.0787
selection_sort,400,79800,5.5742
insertion_sort,400,37828,4.8647
merge_sort,400,3488,1.0467
quick_sort,400,399,0.4833
bubble_sort,400,79800,9.7194
optimal_bubble_sort,400,399,0.0348
heap_sort,400,2545,1.3049
general_count_sort,400,0,0.1481
selection_sort,800,319600,22.5396
insertion_sort,800,167714,25.7638
merge_sort,800,7776,3.0465
quick_sort,800,799,1.5655
bubble_sort,800,319600,51.461
optimal_bubble_sort,800,799,0.0744
heap_sort,800,5806,3.1097
general_count_sort,800,0,0.2985
selection_sort,1000,499500,37.384
insertion_sort,1000,249550,38.9252
merge_sort,1000,9976,3.6299
quick_sort,1000,999,1.662
bubble_sort,1000,499500,74.9567
optimal_bubble_sort,1000,999,0.0882
heap_sort,1000,7346,3.9876
general_count_sort,1000,0,0.3593
selection_sort,2000,1999000,149.4026
insertion_sort,2000,987925,142.6473
merge_sort,2000,21952,6.438
quick_sort,2000,1999,3.9642
bubble_sort,2000,1999000,285.0339
optimal_bubble_sort,2000,1999,0.1988
heap_sort,2000,15964,7.9017
general_count_sort,2000,0,0.6781
